sseqid	PathwayID	Description
AT4G32770	ath00130	Ubiquinone and other terpenoid
AT4G36750	ath00130	Ubiquinone and other terpenoid
AT5G08740	ath00130	Ubiquinone and other terpenoid
AT5G53970	ath00130	Ubiquinone and other terpenoid
AT5G57300	ath00130	Ubiquinone and other terpenoid
AT5G58800	ath00130	Ubiquinone and other terpenoid
AT5G63380	ath00130	Ubiquinone and other terpenoid
AT1G01050	ath00190	Oxidative phosphorylation 
AT1G02410	ath00190	Oxidative phosphorylation 
AT1G04630	ath00190	Oxidative phosphorylation 
AT1G12840	ath00190	Oxidative phosphorylation 
AT1G17260	ath00190	Oxidative phosphorylation 
AT1G19910	ath00190	Oxidative phosphorylation 
AT1G22450	ath00190	Oxidative phosphorylation 
AT1G51650	ath00190	Oxidative phosphorylation 
AT1G65290	ath00190	Oxidative phosphorylation 
AT1G76030	ath00190	Oxidative phosphorylation 
AT1G78900	ath00190	Oxidative phosphorylation 
AT1G79010	ath00190	Oxidative phosphorylation 
AT1G80230	ath00190	Oxidative phosphorylation 
AT1G80660	ath00190	Oxidative phosphorylation 
AT2G01090	ath00190	Oxidative phosphorylation 
AT2G02050	ath00190	Oxidative phosphorylation 
AT2G07687	ath00190	Oxidative phosphorylation 
AT2G18230	ath00190	Oxidative phosphorylation 
AT2G18960	ath00190	Oxidative phosphorylation 
AT2G20360	ath00190	Oxidative phosphorylation 
AT2G20800	ath00190	Oxidative phosphorylation 
AT2G28520	ath00190	Oxidative phosphorylation 
AT2G29990	ath00190	Oxidative phosphorylation 
AT2G33040	ath00190	Oxidative phosphorylation 
AT2G44520	ath00190	Oxidative phosphorylation 
AT2G44620	ath00190	Oxidative phosphorylation 
AT3G01390	ath00190	Oxidative phosphorylation 
AT3G03100	ath00190	Oxidative phosphorylation 
AT3G08560	ath00190	Oxidative phosphorylation 
AT3G12260	ath00190	Oxidative phosphorylation 
AT3G15640	ath00190	Oxidative phosphorylation 
AT3G18410	ath00190	Oxidative phosphorylation 
AT3G27240	ath00190	Oxidative phosphorylation 
AT3G28715	ath00190	Oxidative phosphorylation 
AT3G42050	ath00190	Oxidative phosphorylation 
AT3G47950	ath00190	Oxidative phosphorylation 
AT3G52300	ath00190	Oxidative phosphorylation 
AT3G53620	ath00190	Oxidative phosphorylation 
AT3G58730	ath00190	Oxidative phosphorylation 
AT3G60330	ath00190	Oxidative phosphorylation 
AT4G02580	ath00190	Oxidative phosphorylation 
AT4G02620	ath00190	Oxidative phosphorylation 
AT4G04640	ath00190	Oxidative phosphorylation 
AT4G05020	ath00190	Oxidative phosphorylation 
AT4G09650	ath00190	Oxidative phosphorylation 
AT4G10040	ath00190	Oxidative phosphorylation 
AT4G26210	ath00190	Oxidative phosphorylation 
AT4G32260	ath00190	Oxidative phosphorylation 
AT4G32530	ath00190	Oxidative phosphorylation 
AT4G34700	ath00190	Oxidative phosphorylation 
AT4G34720	ath00190	Oxidative phosphorylation 
AT4G37830	ath00190	Oxidative phosphorylation 
AT4G38510	ath00190	Oxidative phosphorylation 
AT4G39080	ath00190	Oxidative phosphorylation 
AT5G08530	ath00190	Oxidative phosphorylation 
AT5G08680	ath00190	Oxidative phosphorylation 
AT5G09650	ath00190	Oxidative phosphorylation 
AT5G11770	ath00190	Oxidative phosphorylation 
AT5G13430	ath00190	Oxidative phosphorylation 
AT5G13440	ath00190	Oxidative phosphorylation 
AT5G13450	ath00190	Oxidative phosphorylation 
AT5G18800	ath00190	Oxidative phosphorylation 
AT5G25450	ath00190	Oxidative phosphorylation 
AT5G37510	ath00190	Oxidative phosphorylation 
AT5G40650	ath00190	Oxidative phosphorylation 
